 energy shell parameters
             Nshells                80
              kstart      43.770000000
                kend    1660.000000000
               Npmax                20
 isotropic coordinates
    i    j                 x                 y                 z
    9   30  -0.140332437E+03  -0.146911850E+03   0.418879020E+02
    9   31  -0.949726364E+02  -0.770554208E+02   0.167551608E+03
    9   32  -0.144132027E+03   0.804081626E+02   0.125663706E+03
    9   33   0.511017108E+01   0.164964845E+03   0.125663706E+03
    9   34   0.216049475E+02   0.202013640E+03   0.418879020E+02
    9   35   0.140332437E+03   0.146911850E+03  -0.418879020E+02
    9   36   0.197215295E+03   0.488099575E+02   0.418879020E+02
    9   37   0.187011023E+03  -0.793924558E+02  -0.418879020E+02
    9   38   0.116074253E+03  -0.166742473E+03   0.418879020E+02
    9   39   0.517887569E+02  -0.110793791E+03   0.167551608E+03
    9   40   0.155514956E+03   0.552685474E+02   0.125663706E+03
   10    1  -0.136391160E+03   0.162223063E+03  -0.837758041E+02
   10    2  -0.206402767E+03   0.870663976E+02  -0.418879020E+02
   10    3  -0.146510583E+03   0.121163271E+03   0.125663706E+03
   10    4  -0.163391342E+02   0.189417322E+03   0.125663706E+03
   10    5   0.122344844E+02   0.223680525E+03  -0.418879020E+02
   10    6   0.148579993E+03   0.167650367E+03  -0.418879020E+02
   10    7   0.148015805E+03   0.442157892E+02  -0.167551608E+03
   10    8  -0.745165141E+02   0.501959834E+02  -0.209439510E+03
   10    9  -0.114406145E+03  -0.103802450E+03  -0.167551608E+03
   10   10  -0.212328201E+03  -0.714100479E+02  -0.418879020E+02
   10   11  -0.164049080E+03  -0.152546907E+03   0.418879020E+02
   10   12  -0.108274928E+03  -0.110182824E+03   0.167551608E+03
   10   13   0.745165141E+02  -0.501959834E+02   0.209439510E+03
   10   14   0.122436102E+03   0.941972170E+02   0.167551608E+03
   10   15   0.212328201E+03   0.714100479E+02   0.418879020E+02
   10   16   0.206402767E+03  -0.870663976E+02   0.418879020E+02
   10   17   0.146510583E+03  -0.121163271E+03  -0.125663706E+03
   10   18   0.888611814E+01  -0.189912943E+03  -0.125663706E+03
   10   19  -0.122344844E+02  -0.223680525E+03   0.418879020E+02
   10   20   0.136391160E+03  -0.162223063E+03   0.837758041E+02
   10   21  -0.136391160E+03  -0.162223063E+03   0.837758041E+02
   10   22  -0.206402767E+03  -0.870663976E+02   0.418879020E+02
   10   23  -0.146510583E+03  -0.121163271E+03  -0.125663706E+03
   10   24  -0.163391342E+02  -0.189417322E+03  -0.125663706E+03
   10   25   0.122344844E+02  -0.223680525E+03   0.418879020E+02
   10   26   0.148579993E+03  -0.167650367E+03   0.418879020E+02
   10   27   0.148015805E+03  -0.442157892E+02   0.167551608E+03
   10   28  -0.745165141E+02  -0.501959834E+02   0.209439510E+03
   10   29  -0.114406145E+03   0.103802450E+03   0.167551608E+03
   10   30  -0.212328201E+03   0.714100479E+02   0.418879020E+02
   10   31  -0.164049080E+03   0.152546907E+03  -0.418879020E+02
   10   32  -0.108274928E+03   0.110182824E+03  -0.167551608E+03
   10   33   0.745165141E+02   0.501959834E+02  -0.209439510E+03
   10   34   0.122436102E+03  -0.941972170E+02  -0.167551608E+03
   10   35   0.212328201E+03  -0.714100479E+02  -0.418879020E+02
   10   36   0.206402767E+03   0.870663976E+02  -0.418879020E+02
   10   37   0.146510583E+03   0.121163271E+03   0.125663706E+03
   10   38   0.888611814E+01   0.189912943E+03   0.125663706E+03
   10   39  -0.122344844E+02   0.223680525E+03  -0.418879020E+02
   10   40   0.136391160E+03   0.162223063E+03  -0.837758041E+02
