ShellNo,kx,ky,kz,u_amp,v_amp,w_amp,u_hat_pn1,u_hat_pn2,u_hat_pn3
1,11.916512403459965,-4.3832971798343117,-41.887902047863911,-0.21417987948921442E-2,0.23193236628463960E-1,-0.30363330315395834E-2,-0.91183078433297593E-1,0.98740867707032109,-0.12926620073965828
1,8.9782114596549416,8.9782114596549416,-41.887902047863911,0.22989389408885601E-1,-0.10905023309237688E-2,0.46937857783467740E-2,0.97873026290016130,-0.46426097451102162E-1,0.19982915192444278
1,-8.9782114596549416,8.9782114596549416,-41.887902047863911,0.63307147646408913E-3,-0.22930827954104380E-1,-0.50506628777908678E-2,0.26951834238573034E-1,-0.97623711847538208,-0.21502252705718825
1,3.1288127301536655,12.305571621350509,-41.887902047863911,-0.15098259331421811E-1,-0.16927969695050216E-1,-0.61007583811144113E-2,-0.64278015661719989,-0.72067665370872425,-0.25972837938577992
1,8.9782114596549416,-8.9782114596549416,-41.887902047863911,-0.14806831272827474E-1,-0.18219646045784250E-1,0.73149934005354742E-3,-0.63037315200600841,-0.77566735884886240,0.31142216466401043E-1
1,-8.9782114596549416,-8.9782114596549416,-41.887902047863911,-0.23330918593012190E-2,-0.22746288489596797E-1,0.53754895576347854E-2,-0.99327022923954983E-1,-0.96838069587099784,0.22885141551116980
1,-11.916512403459965,-4.3832971798343117,-41.887902047863911,0.15605976618565311E-1,-0.17358134538562785E-1,-0.26232622404343243E-2,0.66439527066337156,-0.73899011749383625,-0.11168048426914740
1,-8.9782114596549416,8.9782114596549416,-41.887902047863911,0.71122126146735487E-2,0.22153017614440541E-1,0.32238312545956158E-2,0.30278915191504924,0.94312329780420689,0.13724858695623240
1,-8.9782114596549416,8.9782114596549416,-41.887902047863911,0.50910854512186147E-3,-0.22939350207881310E-1,-0.50259194372374895E-2,0.21674344252886009E-1,-0.97659993749294038,-0.21396912134696516
1,11.104148625251334,6.1574706931407830,41.887902047863911,-0.13652758930972543E-1,-0.18054939264402572E-1,0.62732915914713999E-2,-0.58124068021826669,-0.76865527564056180,0.26707365817193318
1,8.9782114596549416,8.9782114596549416,-41.887902047863911,-0.17849860781158137E-1,-0.13689953992453331E-1,-0.67602126769744208E-2,-0.75992444272233672,-0.58282419040438793,-0.28780341282308575
1,11.935834728605640,4.3304054498360998,-41.887902047863911,0.13109070463022262E-1,-0.19413857209326618E-1,0.17283707679593275E-2,0.55809416041695803,-0.82650866590856065,0.73582153315475379E-1
1,8.9782114596549416,-8.9782114596549416,-41.887902047863911,0.17144227710592614E-1,0.16054711693938028E-1,0.23352578448613569E-3,0.72988343430831126,0.68349932734276786,0.99419235708688297E-2
